img,link,skin;
/images/champion/skins/portrait/ryze-guardian-of-the-sands.jpg,/league-of-legends/skin/ryze-guardian-of-the-sands-1174,Guardian of the Sands Ryze;
/images/champion/skins/portrait/leona-mecha-kingdoms.jpg,/league-of-legends/skin/leona-mecha-kingdoms-1166,Mecha Kingdoms Leona;
/images/champion/skins/portrait/garen-mecha-kingdoms.jpg,/league-of-legends/skin/garen-mecha-kingdoms-1167,Mecha Kingdoms Garen;
/images/champion/skins/portrait/garen-mecha-kingdoms-prestige-edition.jpg,/league-of-legends/skin/garen-mecha-kingdoms-prestige-edition-1168,Mecha Kingdoms Garen Prestige Edition;
/images/champion/skins/portrait/draven-mecha-kingdoms.jpg,/league-of-legends/skin/draven-mecha-kingdoms-1169,Mecha Kingdoms Draven;
/images/champion/skins/portrait/jax-mecha-kingdoms.jpg,/league-of-legends/skin/jax-mecha-kingdoms-1170,Mecha Kingdoms Jax;
/images/champion/skins/portrait/sett-classic.jpg,/league-of-legends/skin/sett-classic-1163,Classic Sett;
/images/champion/skins/portrait/sett-mecha-kingdoms.jpg,/league-of-legends/skin/sett-mecha-kingdoms-1164,Mecha Kingdoms Sett;
/images/champion/skins/portrait/sylas-freljord.jpg,/league-of-legends/skin/sylas-freljord-1165,Freljord Sylas;
/images/champion/skins/portrait/braum-sugar-rush.jpg,/league-of-legends/skin/braum-sugar-rush-1158,Sugar Rush Braum;
/images/champion/skins/portrait/ziggs-sugar-rush.jpg,/league-of-legends/skin/ziggs-sugar-rush-1159,Sugar Rush Ziggs;
/images/champion/skins/portrait/evelynn-sugar-rush.jpg,/league-of-legends/skin/evelynn-sugar-rush-1160,Sugar Rush Evelynn;
/images/champion/skins/portrait/zilean-sugar-rush.jpg,/league-of-legends/skin/zilean-sugar-rush-1161,Sugar Rush Zilean;
/images/champion/skins/portrait/aphelios-nightbringer.jpg,/league-of-legends/skin/aphelios-nightbringer-1149,Nightbringer Aphelios;
/images/champion/skins/portrait/vladimir-nightbringer.jpg,/league-of-legends/skin/vladimir-nightbringer-1150,Nightbringer Vladimir;
/images/champion/skins/portrait/soraka-nightbringer.jpg,/league-of-legends/skin/soraka-nightbringer-1151,Nightbringer Soraka;
/images/champion/skins/portrait/lee-sin-nightbringer.jpg,/league-of-legends/skin/lee-sin-nightbringer-1152,Nightbringer Lee Sin;
/images/champion/skins/portrait/lee-sin-nightbringer-prestige-edition.jpg,/league-of-legends/skin/lee-sin-nightbringer-prestige-edition-1153,Nightbringer Lee Sin Prestige Edition;
/images/champion/skins/portrait/soraka-dawnbringer.jpg,/league-of-legends/skin/soraka-dawnbringer-1154,Dawnbringer Soraka;
/images/champion/skins/portrait/nidalee-dawnbringer.jpg,/league-of-legends/skin/nidalee-dawnbringer-1155,Dawnbringer Nidalee;
/images/champion/skins/portrait/karma-dawnbringer.jpg,/league-of-legends/skin/karma-dawnbringer-1156,Dawnbringer Karma;
/images/champion/skins/portrait/swain-hextech.jpg,/league-of-legends/skin/swain-hextech-1157,Hextech Swain;
/images/champion/skins/portrait/aphelios-classic.jpg,/league-of-legends/skin/aphelios-classic-1148,Classic Aphelios;
/images/champion/skins/portrait/aatrox-victorious.jpg,/league-of-legends/skin/aatrox-victorious-1145,Victorious Aatrox;
/images/champion/skins/portrait/thresh-pulsefire.jpg,/league-of-legends/skin/thresh-pulsefire-1146,Pulsefire Thresh;
/images/champion/skins/portrait/thresh-pulsefire-prestige-edition.jpg,/league-of-legends/skin/thresh-pulsefire-prestige-edition-1147,Pulsefire Thresh Prestige Edition;
/images/champion/skins/portrait/senna-classic.jpg,/league-of-legends/skin/senna-classic-1138,Classic Senna;
/images/champion/skins/portrait/senna-true-damage.jpg,/league-of-legends/skin/senna-true-damage-1139,True Damage Senna;
/images/champion/skins/portrait/akali-true-damage.jpg,/league-of-legends/skin/akali-true-damage-1140,True Damage Akali;
/images/champion/skins/portrait/reksai-blackfrost.jpg,/league-of-legends/skin/reksai-blackfrost-1183,Blackfrost Rek'Sai;
/images/champion/skins/portrait/alistar-blackfrost.jpg,/league-of-legends/skin/alistar-blackfrost-1184,Blackfrost Alistar;
/images/champion/skins/portrait/renekton-blackfrost.jpg,/league-of-legends/skin/renekton-blackfrost-1185,Blackfrost Renekton;
/images/champion/skins/portrait/sejuani-hextech.jpg,/league-of-legends/skin/sejuani-hextech-1186,Hextech Sejuani;
/images/champion/skins/portrait/katarina-blood-moon.jpg,/league-of-legends/skin/katarina-blood-moon-1180,Blood Moon Katarina;
/images/champion/skins/portrait/master-yi-blood-moon.jpg,/league-of-legends/skin/master-yi-blood-moon-1181,Blood Moon Master Yi;
/images/champion/skins/portrait/tryndamere-blood-moon.jpg,/league-of-legends/skin/tryndamere-blood-moon-1182,Blood Moon Tryndamere;
/images/champion/skins/portrait/jinx-heartseeker.jpg,/league-of-legends/skin/jinx-heartseeker-1177,Heartseeker Jinx;
/images/champion/skins/portrait/yuumi-heartseeker.jpg,/league-of-legends/skin/yuumi-heartseeker-1178,Heartseeker Yuumi;
/images/champion/skins/portrait/senna-true-damage-prestige-edition.jpg,/league-of-legends/skin/senna-true-damage-prestige-edition-1179,True Damage Senna Prestige Edition;
/images/champion/skins/portrait/trundle-dragonslayer.jpg,/league-of-legends/skin/trundle-dragonslayer-1171,Dragonslayer Trundle;
/images/champion/skins/portrait/diana-dragonslayer.jpg,/league-of-legends/skin/diana-dragonslayer-1175,Dragonslayer Diana;
/images/champion/skins/portrait/olaf-dragonslayer.jpg,/league-of-legends/skin/olaf-dragonslayer-1176,Dragonslayer Olaf;
/images/champion/skins/portrait/rengar-guardian-of-the-sands.jpg,/league-of-legends/skin/rengar-guardian-of-the-sands-1172,Guardian of the Sands Rengar;
/images/champion/skins/portrait/janna-guardian-of-the-sands.jpg,/league-of-legends/skin/janna-guardian-of-the-sands-1173,Guardian of the Sands Janna;
/images/champion/skins/portrait/ryze-guardian-of-the-sands.jpg,/league-of-legends/skin/ryze-guardian-of-the-sands-1174,Guardian of the Sands Ryze;
/images/champion/skins/portrait/leona-mecha-kingdoms.jpg,/league-of-legends/skin/leona-mecha-kingdoms-1166,Mecha Kingdoms Leona;
/images/champion/skins/portrait/garen-mecha-kingdoms.jpg,/league-of-legends/skin/garen-mecha-kingdoms-1167,Mecha Kingdoms Garen;
/images/champion/skins/portrait/garen-mecha-kingdoms-prestige-edition.jpg,/league-of-legends/skin/garen-mecha-kingdoms-prestige-edition-1168,Mecha Kingdoms Garen Prestige Edition;
/images/champion/skins/portrait/draven-mecha-kingdoms.jpg,/league-of-legends/skin/draven-mecha-kingdoms-1169,Mecha Kingdoms Draven;
/images/champion/skins/portrait/jax-mecha-kingdoms.jpg,/league-of-legends/skin/jax-mecha-kingdoms-1170,Mecha Kingdoms Jax;
/images/champion/skins/portrait/sett-classic.jpg,/league-of-legends/skin/sett-classic-1163,Classic Sett;
/images/champion/skins/portrait/sett-mecha-kingdoms.jpg,/league-of-legends/skin/sett-mecha-kingdoms-1164,Mecha Kingdoms Sett;
/images/champion/skins/portrait/sylas-freljord.jpg,/league-of-legends/skin/sylas-freljord-1165,Freljord Sylas;
/images/champion/skins/portrait/braum-sugar-rush.jpg,/league-of-legends/skin/braum-sugar-rush-1158,Sugar Rush Braum;
/images/champion/skins/portrait/ziggs-sugar-rush.jpg,/league-of-legends/skin/ziggs-sugar-rush-1159,Sugar Rush Ziggs;
/images/champion/skins/portrait/evelynn-sugar-rush.jpg,/league-of-legends/skin/evelynn-sugar-rush-1160,Sugar Rush Evelynn;
/images/champion/skins/portrait/zilean-sugar-rush.jpg,/league-of-legends/skin/zilean-sugar-rush-1161,Sugar Rush Zilean;
/images/champion/skins/portrait/aphelios-nightbringer.jpg,/league-of-legends/skin/aphelios-nightbringer-1149,Nightbringer Aphelios;
/images/champion/skins/portrait/vladimir-nightbringer.jpg,/league-of-legends/skin/vladimir-nightbringer-1150,Nightbringer Vladimir;
/images/champion/skins/portrait/soraka-nightbringer.jpg,/league-of-legends/skin/soraka-nightbringer-1151,Nightbringer Soraka;
/images/champion/skins/portrait/lee-sin-nightbringer.jpg,/league-of-legends/skin/lee-sin-nightbringer-1152,Nightbringer Lee Sin;
/images/champion/skins/portrait/lee-sin-nightbringer-prestige-edition.jpg,/league-of-legends/skin/lee-sin-nightbringer-prestige-edition-1153,Nightbringer Lee Sin Prestige Edition;
/images/champion/skins/portrait/soraka-dawnbringer.jpg,/league-of-legends/skin/soraka-dawnbringer-1154,Dawnbringer Soraka;
/images/champion/skins/portrait/nidalee-dawnbringer.jpg,/league-of-legends/skin/nidalee-dawnbringer-1155,Dawnbringer Nidalee;
/images/champion/skins/portrait/karma-dawnbringer.jpg,/league-of-legends/skin/karma-dawnbringer-1156,Dawnbringer Karma;
/images/champion/skins/portrait/swain-hextech.jpg,/league-of-legends/skin/swain-hextech-1157,Hextech Swain;
/images/champion/skins/portrait/aphelios-classic.jpg,/league-of-legends/skin/aphelios-classic-1148,Classic Aphelios;
/images/champion/skins/portrait/aatrox-victorious.jpg,/league-of-legends/skin/aatrox-victorious-1145,Victorious Aatrox;
/images/champion/skins/portrait/thresh-pulsefire.jpg,/league-of-legends/skin/thresh-pulsefire-1146,Pulsefire Thresh;
/images/champion/skins/portrait/thresh-pulsefire-prestige-edition.jpg,/league-of-legends/skin/thresh-pulsefire-prestige-edition-1147,Pulsefire Thresh Prestige Edition;
/images/champion/skins/portrait/senna-classic.jpg,/league-of-legends/skin/senna-classic-1138,Classic Senna;
/images/champion/skins/portrait/senna-true-damage.jpg,/league-of-legends/skin/senna-true-damage-1139,True Damage Senna;
/images/champion/skins/portrait/akali-true-damage.jpg,/league-of-legends/skin/akali-true-damage-1140,True Damage Akali;
/images/champion/skins/portrait/ekko-true-damage.jpg,/league-of-legends/skin/ekko-true-damage-1141,True Damage Ekko;
/images/champion/skins/portrait/qiyana-true-damage.jpg,/league-of-legends/skin/qiyana-true-damage-1142,True Damage Qiyana;
/images/champion/skins/portrait/qiyana-true-damage-prestige-edition.jpg,/league-of-legends/skin/qiyana-true-damage-prestige-edition-1143,True Damage Qiyana Prestige Edition;
/images/champion/skins/portrait/yasuo-true-damage.jpg,/league-of-legends/skin/yasuo-true-damage-1144,True Damage Yasuo;
/images/champion/skins/portrait/annie-versary.jpg,/league-of-legends/skin/annie-versary-1137,Annie-Versary;
/images/champion/skins/portrait/blitzcrank-witchs-brew.jpg,/league-of-legends/skin/blitzcrank-witchs-brew-1133,Witch's Brew Blitzcrank;
/images/champion/skins/portrait/miss-fortune-bewitching.jpg,/league-of-legends/skin/miss-fortune-bewitching-1134,Bewitching Miss Fortune;
/images/champion/skins/portrait/miss-fortune-bewitching-prestige-edition.jpg,/league-of-legends/skin/miss-fortune-bewitching-prestige-edition-1135,Bewitching Miss Fortune Prestige Edition;
/images/champion/skins/portrait/kassadin-count.jpg,/league-of-legends/skin/kassadin-count-1136,Count Kassadin;
/images/champion/skins/portrait/ashe-high-noon.jpg,/league-of-legends/skin/ashe-high-noon-1130,High Noon Ashe;
/images/champion/skins/portrait/darius-high-noon.jpg,/league-of-legends/skin/darius-high-noon-1131,High Noon Darius;
/images/champion/skins/portrait/hecarim-high-noon.jpg,/league-of-legends/skin/hecarim-high-noon-1132,High Noon Hecarim;
/images/champion/skins/portrait/amumu-hextech.jpg,/league-of-legends/skin/amumu-hextech-1124,Hextech Amumu;
/images/champion/skins/portrait/morgana-majestic-empress.jpg,/league-of-legends/skin/morgana-majestic-empress-1125,Majestic Empress Morgana;
/images/champion/skins/portrait/nami-splendid-staff.jpg,/league-of-legends/skin/nami-splendid-staff-1126,Splendid Staff Nami;
/images/champion/skins/portrait/riven-valiant-sword.jpg,/league-of-legends/skin/riven-valiant-sword-1127,Valiant Sword Riven;
/images/champion/skins/portrait/riven-valiant-sword-prestige-edition.jpg,/league-of-legends/skin/riven-valiant-sword-prestige-edition-1128,Valiant Sword Riven Prestige Edition;
/images/champion/skins/portrait/ryze-championship.jpg,/league-of-legends/skin/ryze-championship-1129,Championship Ryze;
/images/champion/skins/portrait/neeko-star-guardian.jpg,/league-of-legends/skin/neeko-star-guardian-1119,Star Guardian Neeko;
/images/champion/skins/portrait/neeko-star-guardian-prestige-edition.jpg,/league-of-legends/skin/neeko-star-guardian-prestige-edition-1120,Star Guardian Neeko Prestige Edition;
/images/champion/skins/portrait/xayah-star-guardian.jpg,/league-of-legends/skin/xayah-star-guardian-1121,Star Guardian Xayah;
/images/champion/skins/portrait/rakan-star-guardian.jpg,/league-of-legends/skin/rakan-star-guardian-1122,Star Guardian Rakan;
/images/champion/skins/portrait/zoe-star-guardian.jpg,/league-of-legends/skin/zoe-star-guardian-1123,Star Guardian Zoe;
/images/champion/skins/portrait/varus-infernal.jpg,/league-of-legends/skin/varus-infernal-1116,Infernal Varus;
/images/champion/skins/portrait/shen-infernal.jpg,/league-of-legends/skin/shen-infernal-1117,Infernal Shen;
/images/champion/skins/portrait/galio-infernal.jpg,/league-of-legends/skin/galio-infernal-1118,Infernal Galio;
/images/champion/skins/portrait/ahri-elderwood.jpg,/league-of-legends/skin/ahri-elderwood-1113,Elderwood Ahri;
/images/champion/skins/portrait/veigar-elderwood.jpg,/league-of-legends/skin/veigar-elderwood-1114,Elderwood Veigar;
/images/champion/skins/portrait/nocturne-elderwood.jpg,/league-of-legends/skin/nocturne-elderwood-1115,Elderwood Nocturne;
/images/champion/skins/portrait/udyr-dragon-oracle.jpg,/league-of-legends/skin/udyr-dragon-oracle-1111,Dragon Oracle Udyr;
/images/champion/skins/portrait/rammus-hextech.jpg,/league-of-legends/skin/rammus-hextech-1112,Hextech Rammus;
/images/champion/skins/portrait/pyke-project.jpg,/league-of-legends/skin/pyke-project-1105,PROJECT: Pyke;
/images/champion/skins/portrait/irelia-project.jpg,/league-of-legends/skin/irelia-project-1106,PROJECT: Irelia;
/images/champion/skins/portrait/jinx-project.jpg,/league-of-legends/skin/jinx-project-1107,PROJECT: Jinx;
/images/champion/skins/portrait/akali-project.jpg,/league-of-legends/skin/akali-project-1108,PROJECT: Akali;
/images/champion/skins/portrait/warwick-project.jpg,/league-of-legends/skin/warwick-project-1109,PROJECT: Warwick;
/images/champion/skins/portrait/irelia-project-prestige-edition.jpg,/league-of-legends/skin/irelia-project-prestige-edition-1110,PROJECT: Irelia Prestige Edition;
/images/champion/skins/portrait/garen-demacia-vice.jpg,/league-of-legends/skin/garen-demacia-vice-1103,Demacia Vice Garen;
/images/champion/skins/portrait/lucian-demacia-vice.jpg,/league-of-legends/skin/lucian-demacia-vice-1104,Demacia Vice Lucian;
/images/champion/skins/portrait/qiyana-classic.jpg,/league-of-legends/skin/qiyana-classic-1094,Classic Qiyana;
/images/champion/skins/portrait/qiyana-battle-boss.jpg,/league-of-legends/skin/qiyana-battle-boss-1098,Battle Boss Qiyana;
/images/champion/skins/portrait/yasuo-battle-boss.jpg,/league-of-legends/skin/yasuo-battle-boss-1099,Battle Boss Yasuo;
/images/champion/skins/portrait/kaisa-arcade.jpg,/league-of-legends/skin/kaisa-arcade-1100,Arcade Kai'Sa;
/images/champion/skins/portrait/caitlyn-arcade.jpg,/league-of-legends/skin/caitlyn-arcade-1101,Arcade Caitlyn;
/images/champion/skins/portrait/caitlyn-arcade-prestige-edition.jpg,/league-of-legends/skin/caitlyn-arcade-prestige-edition-1102,Arcade Caitlyn Prestige Edition;
/images/champion/skins/portrait/shaco-dark-star.jpg,/league-of-legends/skin/shaco-dark-star-1095,Dark Star Shaco;
/images/champion/skins/portrait/karma-dark-star.jpg,/league-of-legends/skin/karma-dark-star-1096,Dark Star Karma;
/images/champion/skins/portrait/jhin-dark-cosmic.jpg,/league-of-legends/skin/jhin-dark-cosmic-1097,Dark Cosmic Jhin;
/images/champion/skins/portrait/tristana-little-demon.jpg,/league-of-legends/skin/tristana-little-demon-1093,Little Demon Tristana;
/images/champion/skins/portrait/ezreal-battle-academia.jpg,/league-of-legends/skin/ezreal-battle-academia-1087,Battle Academia Ezreal;
/images/champion/skins/portrait/lux-battle-academia.jpg,/league-of-legends/skin/lux-battle-academia-1088,Battle Academia Lux;
/images/champion/skins/portrait/lux-battle-academia-prestige-edition.jpg,/league-of-legends/skin/lux-battle-academia-prestige-edition-1089,Battle Academia Lux Prestige Edition;
/images/champion/skins/portrait/jayce-battle-academia.jpg,/league-of-legends/skin/jayce-battle-academia-1090,Battle Academia Jayce;
/images/champion/skins/portrait/katarina-battle-academia.jpg,/league-of-legends/skin/katarina-battle-academia-1091,Battle Academia Katarina;
/images/champion/skins/portrait/graves-battle-professor.jpg,/league-of-legends/skin/graves-battle-professor-1092,Battle Professor Graves;
/images/champion/skins/portrait/yuumi-classic.jpg,/league-of-legends/skin/yuumi-classic-1076,Classic Yuumi;
/images/champion/skins/portrait/yuumi-battle-principal.jpg,/league-of-legends/skin/yuumi-battle-principal-1086,Battle Principal Yuumi;
/images/champion/skins/portrait/alistar-conqueror.jpg,/league-of-legends/skin/alistar-conqueror-1085,Conqueror Alistar;
/images/champion/skins/portrait/camille-invictus-gaming.jpg,/league-of-legends/skin/camille-invictus-gaming-1079,iG Camille;
/images/champion/skins/portrait/fiora-invictus-gaming.jpg,/league-of-legends/skin/fiora-invictus-gaming-1080,iG Fiora;
/images/champion/skins/portrait/irelia-invictus-gaming.jpg,/league-of-legends/skin/irelia-invictus-gaming-1081,iG Irelia;
/images/champion/skins/portrait/kaisa-invictus-gaming.jpg,/league-of-legends/skin/kaisa-invictus-gaming-1082,iG Kai'Sa;
/images/champion/skins/portrait/leblanc-invictus-gaming.jpg,/league-of-legends/skin/leblanc-invictus-gaming-1083,iG LeBlanc;
/images/champion/skins/portrait/rakan-invictus-gaming.jpg,/league-of-legends/skin/rakan-invictus-gaming-1084,iG Rakan;
/images/champion/skins/portrait/zed-galaxy-slayer.jpg,/league-of-legends/skin/zed-galaxy-slayer-1077,Galaxy Slayer Zed;
/images/champion/skins/portrait/evelynn-kda-prestige-edition.jpg,/league-of-legends/skin/evelynn-kda-prestige-edition-1078,K/DA Evelynn Prestige Edition;
/images/champion/skins/portrait/corki-corgi.jpg,/league-of-legends/skin/corki-corgi-1069,Corgi Corki;
/images/champion/skins/portrait/fizz-fuzz.jpg,/league-of-legends/skin/fizz-fuzz-1070,Fuzz Fizz;
/images/champion/skins/portrait/fizz-fuzz-prestige-edition.jpg,/league-of-legends/skin/fizz-fuzz-prestige-edition-1071,Fuzz Fizz Prestige Edition;
/images/champion/skins/portrait/yorick-meowrick.jpg,/league-of-legends/skin/yorick-meowrick-1072,Meowrick;
/images/champion/skins/portrait/rengar-pretty-kitty.jpg,/league-of-legends/skin/rengar-pretty-kitty-1073,Pretty Kitty Rengar;
/images/champion/skins/portrait/ahri-kda-prestige-edition.jpg,/league-of-legends/skin/ahri-kda-prestige-edition-1067,K/DA Ahri Prestige Edition;
/images/champion/skins/portrait/brand-arclight.jpg,/league-of-legends/skin/brand-arclight-1068,Arclight Brand;
/images/champion/skins/portrait/anivia-papercraft.jpg,/league-of-legends/skin/anivia-papercraft-1065,Papercraft Anivia;
/images/champion/skins/portrait/fiora-heartpiercer.jpg,/league-of-legends/skin/fiora-heartpiercer-1063,Heartpiercer Fiora;
/images/champion/skins/portrait/vi-heartbreaker.jpg,/league-of-legends/skin/vi-heartbreaker-1064,Heartbreaker Vi;
/images/champion/skins/portrait/tahm-kench-coin-emperor.jpg,/league-of-legends/skin/tahm-kench-coin-emperor-1059,Coin Emperor Tahm Kench;
/images/champion/skins/portrait/sejuani-firecracker.jpg,/league-of-legends/skin/sejuani-firecracker-1060,Firecracker Sejuani;
/images/champion/skins/portrait/vayne-firecracker.jpg,/league-of-legends/skin/vayne-firecracker-1061,Firecracker Vayne;
/images/champion/skins/portrait/vayne-firecracker-prestige-edition.jpg,/league-of-legends/skin/vayne-firecracker-prestige-edition-1062,Firecracker Vayne Prestige Edition;
/images/champion/skins/portrait/sylas-classic.jpg,/league-of-legends/skin/sylas-classic-1057,Classic Sylas;
/images/champion/skins/portrait/sylas-lunar-wraith.jpg,/league-of-legends/skin/sylas-lunar-wraith-1058,Lunar Wraith Sylas;
/images/champion/skins/portrait/aatrox-blood-moon.jpg,/league-of-legends/skin/aatrox-blood-moon-1053,Blood Moon Aatrox;
/images/champion/skins/portrait/pyke-blood-moon.jpg,/league-of-legends/skin/pyke-blood-moon-1055,Blood Moon Pyke;
/images/champion/skins/portrait/sivir-blood-moon.jpg,/league-of-legends/skin/sivir-blood-moon-1056,Blood Moon Sivir;
/images/champion/skins/portrait/renekton-hextech.jpg,/league-of-legends/skin/renekton-hextech-1051,Hextech Renekton;
/images/champion/skins/portrait/twitch-ice-king.jpg,/league-of-legends/skin/twitch-ice-king-1047,Ice King Twitch;
/images/champion/skins/portrait/dr-mundo-frozen-prince.jpg,/league-of-legends/skin/dr-mundo-frozen-prince-1048,Frozen Prince Mundo;
/images/champion/skins/portrait/soraka-winter-wonder.jpg,/league-of-legends/skin/soraka-winter-wonder-1049,Winter Wonder Soraka;
/images/champion/skins/portrait/master-yi-snow-man.jpg,/league-of-legends/skin/master-yi-snow-man-1050,Snow Man Yi;
/images/champion/skins/portrait/akali-kda-prestige-edition.jpg,/league-of-legends/skin/akali-kda-prestige-edition-1052,K/DA Akali Prestige Edition;
/images/champion/skins/portrait/neeko-classic.jpg,/league-of-legends/skin/neeko-classic-1045,Classic Neeko;
/images/champion/skins/portrait/neeko-winter-wonder.jpg,/league-of-legends/skin/neeko-winter-wonder-1046,Winter Wonder Neeko;
/images/champion/skins/portrait/leona-solar-eclipse.jpg,/league-of-legends/skin/leona-solar-eclipse-1036,Solar Eclipse Leona;
/images/champion/skins/portrait/leona-lunar-eclipse.jpg,/league-of-legends/skin/leona-lunar-eclipse-1037,Lunar Eclipse Leona;
/images/champion/skins/portrait/camille-coven.jpg,/league-of-legends/skin/camille-coven-1038,Coven Camille;
/images/champion/skins/portrait/lissandra-coven.jpg,/league-of-legends/skin/lissandra-coven-1039,Coven Lissandra;
/images/champion/skins/portrait/soraka-pajama-guardian.jpg,/league-of-legends/skin/soraka-pajama-guardian-1040,Pajama Guardian Soraka;
/images/champion/skins/portrait/miss-fortune-pajama-guardian.jpg,/league-of-legends/skin/miss-fortune-pajama-guardian-1041,Pajama Guardian Miss Fortune;
/images/champion/skins/portrait/ezreal-pajama-guardian.jpg,/league-of-legends/skin/ezreal-pajama-guardian-1042,Pajama Guardian Ezreal;
/images/champion/skins/portrait/lulu-pajama-guardian.jpg,/league-of-legends/skin/lulu-pajama-guardian-1043,Pajama Guardian Lulu;
/images/champion/skins/portrait/lux-pajama-guardian.jpg,/league-of-legends/skin/lux-pajama-guardian-1044,Pajama Guardian Lux;
/images/champion/skins/portrait/nami-program.jpg,/league-of-legends/skin/nami-program-1031,Program Nami;
/images/champion/skins/portrait/leblanc-program.jpg,/league-of-legends/skin/leblanc-program-1032,Program LeBlanc;
/images/champion/skins/portrait/fiddlesticks-praetorian.jpg,/league-of-legends/skin/fiddlesticks-praetorian-1033,Praetorian Fiddlesticks;
/images/champion/skins/portrait/graves-praetorian.jpg,/league-of-legends/skin/graves-praetorian-1034,Praetorian Graves;
/images/champion/skins/portrait/ahri-kda.jpg,/league-of-legends/skin/ahri-kda-1026,K/DA Ahri;
/images/champion/skins/portrait/akali-kda.jpg,/league-of-legends/skin/akali-kda-1027,K/DA Akali;
/images/champion/skins/portrait/kaisa-kda.jpg,/league-of-legends/skin/kaisa-kda-1028,K/DA Kai'Sa;
/images/champion/skins/portrait/evelynn-kda.jpg,/league-of-legends/skin/evelynn-kda-1029,K/DA Evelynn;
/images/champion/skins/portrait/kaisa-kda-prestige-edition.jpg,/league-of-legends/skin/kaisa-kda-prestige-edition-1030,K/DA Kai'Sa Prestige Edition;
/images/champion/skins/portrait/janna-bewitching.jpg,/league-of-legends/skin/janna-bewitching-1023,Bewitching Janna;
/images/champion/skins/portrait/kled-count-kledula.jpg,/league-of-legends/skin/kled-count-kledula-1024,Count Kledula;
/images/champion/skins/portrait/ekko-trick-or-treat.jpg,/league-of-legends/skin/ekko-trick-or-treat-1025,Trick or Treat Ekko;
/images/champion/skins/portrait/malzahar-hextech.jpg,/league-of-legends/skin/malzahar-hextech-1022,Hextech Malzahar;
/images/champion/skins/portrait/amumu-infernal.jpg,/league-of-legends/skin/amumu-infernal-1020,Infernal Amumu;
/images/champion/skins/portrait/heimerdinger-dragon-trainer.jpg,/league-of-legends/skin/heimerdinger-dragon-trainer-1021,Dragon Trainer Heimerdinger;
/images/champion/skins/portrait/khazix-championship.jpg,/league-of-legends/skin/khazix-championship-1019,Championship Kha'Zix;
/images/champion/skins/portrait/jinx-odyssey.jpg,/league-of-legends/skin/jinx-odyssey-1013,Odyssey Jinx;
/images/champion/skins/portrait/kayn-odyssey.jpg,/league-of-legends/skin/kayn-odyssey-1014,Odyssey Kayn;
/images/champion/skins/portrait/malphite-odyssey.jpg,/league-of-legends/skin/malphite-odyssey-1015,Odyssey Malphite;
/images/champion/skins/portrait/sona-odyssey.jpg,/league-of-legends/skin/sona-odyssey-1016,Odyssey Sona;
/images/champion/skins/portrait/yasuo-odyssey.jpg,/league-of-legends/skin/yasuo-odyssey-1017,Odyssey Yasuo;
/images/champion/skins/portrait/ziggs-odyssey.jpg,/league-of-legends/skin/ziggs-odyssey-1018,Odyssey Ziggs;
/images/champion/skins/portrait/irelia-divine-sword.jpg,/league-of-legends/skin/irelia-divine-sword-1008,Divine Sword Irelia;
/images/champion/skins/portrait/talon-enduring-sword.jpg,/league-of-legends/skin/talon-enduring-sword-1009,Enduring Sword Talon;
/images/champion/skins/portrait/lucian-high-noon.jpg,/league-of-legends/skin/lucian-high-noon-1010,High Noon Lucian;
